temps,r_hip_pitch_angle,r_hip_pitch_angle_norm,r_hip_pitch_vitesse,r_knee_angle,r_knee_angle_norm,r_knee_vitesse,r_ankle_pitch_angle,r_ankle_pitch_angle_norm,r_ankle_pitch_vitesse,l_hip_pitch_angle,l_hip_pitch_angle_norm,l_hip_pitch_vitesse,l_knee_angle,l_knee_angle_norm,l_knee_vitesse,l_ankle_pitch_angle,l_ankle_pitch_angle_norm,l_ankle_pitch_vitesse,base_x,base_y,base_z,base_x_norm,base_y_norm,base_z_norm,base_vx,base_vy,base_vz,hauteur_pied_gauche,hauteur_pied_droit,ecart_hauteur_pieds,pied_gauche_x,pied_gauche_y,pied_gauche_z,pied_droit_x,pied_droit_y,pied_droit_z
0.0,0.5597825951326684,1.2716060791163466,0.0,-0.1128559791263841,1.078106006188295,0.0,0.4110334970271065,2.139827084915358,0.0,-0.11232952245212713,-1.3662124717026674,0.0,-0.21522346057225344,0.7287331899248806,0.0,-0.610865238198,-0.9484023983301588,0.0,0.0,0.0,0.845218,-1.8700191834255058,-0.939345915286194,-1.2706343721187343,0.0,0.0,0.0,0.11467837698312376,0.11510396517642713,-0.00042558819330336395,-0.15443161227770957,0.025848180589357898,0.11467837698312376,0.29157836596423403,-0.06825958248547051,0.11510396517642713
0.0083330004,0.5619883907760121,1.2790841722536874,0.2647060527374723,-0.11916065303866691,1.0600765707046667,-0.7565910968014355,0.399620837695395,2.1060516133402336,-1.3695738370193145,-0.1161643321962891,-1.3828904827389268,-0.46019555503225185,-0.2188330214467073,0.719448816533884,-0.43316461072699025,-0.610865238198,-0.9484023983301588,0.0,0.009113155127274912,-0.0003373166469334876,0.8442539419310645,-1.841878434015884,-0.9416951767798928,-1.3533882260661647,1.0936223076714255,-0.040479614873591946,-0.11569159038268062,0.11492843690863361,0.11369205830253709,0.0012363786060965165,-0.15075125743185092,0.02670700931224999,0.11492843690863361,0.3002735784594503,-0.0651268721483907,0.11369205830253709
0.0166660008,0.5643979972151261,1.2872532251894864,0.2891643253867983,-0.12989485413912466,1.0293800447777737,-1.2881555964473195,0.3869634549208634,2.068592414770381,-1.5189466178990703,-0.11947512120210674,-1.397289469719132,-0.39731055404937127,-0.2237470268688163,0.7068092011426782,-0.5897042105157001,-0.610865238198,-0.9484023983301588,0.0,0.018357078743991888,-0.0006449000672357773,0.8433692718320853,-1.8133338811769706,-0.9438373594796954,-1.4293274900188213,1.1093151533650443,-0.03691148512392843,-0.10616465336773415,0.11530022037544876,0.11192727784459429,0.0033729425308544753,-0.1469023335928366,0.02741241159071208,0.11530022037544876,0.3077037675237092,-0.06263909509886735,0.11192727784459429
0.0249990012,0.5656590332736485,1.29152839234907,0.15133037297375598,-0.1434203142907903,0.9907013732741201,-1.6231200650927176,0.3723582322164081,2.0253686340576773,-1.752696748275123,-0.12263166464430349,-1.4110176257105826,-0.37880034689506903,-0.22977371791662218,0.6913075786611147,-0.7232318202943889,-0.610865238198,-0.9484023983301588,0.0,0.02778540727470822,-0.0011502821545644611,0.8425929488363865,-1.7842198995944125,-0.9473571225514554,-1.495966338727417,1.1314446271617042,-0.0606482734992649,-0.09316248151132366,0.1155796063330832,0.1099371508129811,0.005642455520102105,-0.14282389863089023,0.028403704763416346,0.1155796063330832,0.31397847318772903,-0.06120756698434106,0.1099371508129811
0.0333320016,0.5679253429089953,1.2992116401523366,0.27196802190802694,-0.15973664569272944,0.9440416651855464,-1.9580379957667033,0.35960752259321777,1.9876332370810867,-1.5301462871873088,-0.12425934333849384,-1.4180965800880503,-0.19532924709692218,-0.23756897702880608,0.6712569135540928,-0.9354684672982735,-0.610865238198,-0.9484023983301588,0.0,0.037248715007795,-0.0016949179345122968,0.8419637190141767,-1.7549979048205167,-0.9511502702586727,-1.549978845322599,1.1356422991515496,-0.06535890481270534,-0.0755105954644871,0.11602858512039221,0.1079387086564214,0.008089876463970816,-0.1389807345371296,0.029261981715165346,0.11602858512039221,0.3188036011931246,-0.060459687026495616,0.1079387086564214
0.041665002,0.5699960425130187,1.306231730406422,0.24849388031031366,-0.17885933098671253,0.8893566449008476,-2.29481391768361,0.3451242021007204,1.9447702228273878,-1.7380678983883575,-0.124600846259166,-1.4195818140005163,-0.04098198779303515,-0.24769702825297568,0.6452059304680802,-1.215414705148652,-0.610865238198,-0.9484023983301588,0.0,0.04684797469678086,-0.0022393221790926333,0.8414312073632371,-1.7253561004560598,-0.954941805424297,-1.5956891534535378,1.1519571856717852,-0.06533111945852499,-0.06390395120340968,0.116654283753781,0.10573837274666056,0.01091591100712043,-0.13508981943976778,0.02989874208460811,0.116654283753781,0.32252998758774376,-0.060485983519284935,0.10573837274666056
0.0499980024,0.5712677341210295,1.3105430220328136,0.1526090899996563,-0.19860853729321024,0.8328799665016405,-2.3699994429974716,0.32817959413376985,1.8946230916369282,-2.0334341957970596,-0.12373998352606881,-1.4158378269135021,0.10330765531910739,-0.2596209350419448,0.6145357168995175,-1.4309259830311656,-0.610865238198,-0.9484023983301588,0.0,0.05670091428743771,-0.0028523569017775184,0.8409093138637901,-1.6949309513066753,-0.9592113215640914,-1.6404880092704248,1.1823999901232272,-0.07356710587520014,-0.0626297221162955,0.11728715118764205,0.10336732676486715,0.013919824422774896,-0.13105844468713243,0.03070078438045886,0.11728715118764205,0.32563242644384166,-0.061234866179225536,0.10336732676486715
0.058331002800000004,0.5721600167733258,1.3135680406009846,0.10707819626365914,-0.21847388425769723,0.776071161408908,-2.3839368787846205,0.3083718060833476,1.836002452676456,-2.3770295331345803,-0.12135884353724909,-1.4054819861647214,0.2857482148710475,-0.2723967556360522,0.581674243468896,-1.5331597240901875,-0.610865238198,-0.9484023983301588,0.0,0.06655084856247798,-0.003464446347491569,0.8403885200604163,-1.6645150823497694,-0.9634742542671992,-1.6851924681923935,1.1820393378404572,-0.07345366810663424,-0.06249775331509354,0.11779599475311506,0.10106764108692164,0.01672835366619342,-0.12655693604146476,0.0316034394815231,0.11779599475311506,0.32838101636974004,-0.06226653972055632,0.10106764108692164
0.0666640032,0.5710961347577778,1.3099612655022042,-0.12767094257526723,-0.23439348176277974,0.7305459906964243,-1.9104280260303972,0.29348009255035934,1.7919308097298592,-1.7870770212597418,-0.11830353374457082,-1.3921941064937533,0.3666518235950477,-0.28923666140799514,0.5383592867486904,-2.0208694304086365,-0.610865238198,-0.9484023983301588,0.0,0.0767465789483557,-0.0038766580566121714,0.8398955410699167,-1.6330314205630478,-0.9663451267968901,-1.727509329275255,1.2235365290367344,-0.0494673814152946,-0.05915984241397661,0.11880998288484323,0.09893281142768107,0.01987717145716217,-0.12244239398843651,0.032376388029366036,0.11880998288484323,0.33150714425061734,-0.06295069283582093,0.09893281142768107
0.0749970036,0.5686025755279864,1.301507595634769,-0.2992390627739957,-0.24672673544878632,0.6952766643634842,-1.4800495732613397,0.28598784132013133,1.7697576850351517,-0.8991060687130182,-0.11452399822994352,-1.3757564891853975,0.45356238247958075,-0.30863523409075716,0.4884630255957604,-2.327921727060281,-0.610865238198,-0.9484023983301588,0.0,0.08699528757995972,-0.004337189647922336,0.8395083859636039,-1.6013841658695533,-0.9695525259689509,-1.7607423659098522,1.229894172524464,-0.05526599894440963,-0.04646046894619371,0.1201413005651425,0.09702166785991229,0.02311963270523021,-0.11849638048746909,0.033235725342562535,0.1201413005651425,0.3344941101806586,-0.06356008483080451,0.09702166785991229
