hanche_droite,genou_droit,cheville_droite,hanche_gauche,genou_gauche,cheville_gauche,robot_epaule_avant_droite,robot_coude_avant_droit,robot_poignet_avant_droit,robot_epaule_avant_gauche,robot_coude_avant_gauche,robot_poignet_avant_gauche,temps
1.3705125943957195,0.6006606911343255,1.7128056285250075,-1.3159105821585002,0.34940102311158916,-0.9806499020274693,1.3705125943957195,0.6006606911343255,1.7128056285250075,-1.3159105821585002,0.34940102311158916,-0.9806499020274693,0.0
1.351535604970887,0.578220371553383,1.6803286748703057,-1.2861379426144797,0.30515744801580913,-0.982189815429245,1.351535604970887,0.578220371553383,1.6803286748703057,-1.2861379426144797,0.30515744801580913,-0.982189815429245,0.01
1.3304937656756328,0.5524323804684804,1.6429350570806736,-1.253131841585187,0.2513078256447764,-0.9878113388053891,1.3304937656756328,0.5524323804684804,1.6429350570806736,-1.253131841585187,0.2513078256447764,-0.9878113388053891,0.02
1.3134114821832688,0.5219372958284132,1.6003076979896234,-1.215244298948795,0.1895572143322442,-0.9958091579270956,1.3134114821832688,0.5219372958284132,1.6003076979896234,-1.215244298948795,0.1895572143322442,-0.9958091579270956,0.03
1.2954435889504214,0.4827765485652483,1.5492898919171336,-1.1692000709545725,0.12010503062681954,-0.9946009167120273,1.2954435889504214,0.4827765485652483,1.5492898919171336,-1.1692000709545725,0.12010503062681954,-0.9946009167120273,0.04
1.2741738491706043,0.43343868086399984,1.4951350051569667,-1.1139365316682692,0.04486867616791712,-0.9841135186476564,1.2741738491706043,0.43343868086399984,1.4951350051569667,-1.1139365316682692,0.04486867616791712,-0.9841135186476564,0.05
1.2463665852453736,0.381812006049335,1.4364060323833618,-1.0506312440135568,-0.03417047947562987,-0.9666640754498483,1.2463665852453736,0.381812006049335,1.4364060323833618,-1.0506312440135568,-0.03417047947562987,-0.9666640754498483,0.06
1.2127232460254067,0.33064328395146797,1.3700795562187698,-0.9882909761377551,-0.1280968804217297,-0.9527641490926502,1.2127232460254067,0.33064328395146797,1.3700795562187698,-0.9882909761377551,-0.1280968804217297,-0.9527641490926502,0.07
1.1740894197273741,0.27871888490918134,1.2967775480031096,-0.924719387022322,-0.2364150806472365,-0.941819100771228,1.1740894197273741,0.27871888490918134,1.2967775480031096,-0.924719387022322,-0.2364150806472365,-0.941819100771228,0.08
1.1286529589759855,0.23476513046715142,1.2152300115552486,-0.8535150182808626,-0.35927200597834397,-0.935903951319206,1.1286529589759855,0.23476513046715142,1.2152300115552486,-0.8535150182808626,-0.35927200597834397,-0.935903951319206,0.09
1.0882897498920039,0.20694137003901086,1.1180714621475432,-0.7780324590190207,-0.49470685544670423,-0.9253419384960893,1.0882897498920039,0.20694137003901086,1.1180714621475432,-0.7780324590190207,-0.49470685544670423,-0.9253419384960893,0.1
1.0513773948098155,0.2030678618924313,1.017492068458299,-0.6989128569659679,-0.6352951939071032,-0.9096659980970976,1.0513773948098155,0.2030678618924313,1.017492068458299,-0.6989128569659679,-0.6352951939071032,-0.9096659980970976,0.11
0.9888132638908104,0.23685645485298307,0.9068554419028297,-0.590537800295181,-0.7873753241831597,-0.9217837541435536,0.9888132638908104,0.23685645485298307,0.9068554419028297,-0.590537800295181,-0.7873753241831597,-0.9217837541435536,0.12
0.910417611409277,0.25073677854048765,0.8127120684118838,-0.5031032815544157,-0.9577186885593753,-0.9317596287900844,0.910417611409277,0.25073677854048765,0.8127120684118838,-0.5031032815544157,-0.9577186885593753,-0.9317596287900844,0.13
0.8262577112136487,0.23396064892150564,0.7386019527262289,-0.4358139448869755,-1.1282524088247035,-0.9386598095641874,0.8262577112136487,0.23396064892150564,0.7386019527262289,-0.4358139448869755,-1.1282524088247035,-0.9386598095641874,0.14
0.7359685590804531,0.22384770243386148,0.6733694987563155,-0.3778101852016881,-1.286180539557852,-0.9450260817626948,0.7359685590804531,0.22384770243386148,0.6733694987563155,-0.3778101852016881,-1.286180539557852,-0.9450260817626948,0.15
0.6325784535677795,0.22088460617534683,0.622764333073046,-0.31540925521395835,-1.430500154242461,-0.9522016471110808,0.6325784535677795,0.22088460617534683,0.622764333073046,-0.31540925521395835,-1.430500154242461,-0.9522016471110808,0.16
0.5384400986498661,0.24272182235601686,0.5474026562911911,-0.23999276915635442,-1.555350216867459,-0.967222979670314,0.5384400986498661,0.24272182235601686,0.5474026562911911,-0.23999276915635442,-1.555350216867459,-0.967222979670314,0.17
0.5007348030129832,0.2585519510819649,0.45871080820939725,-0.1924613772100017,-1.6269154912236834,-0.97125914753343,0.5007348030129832,0.2585519510819649,0.45871080820939725,-0.1924613772100017,-1.6269154912236834,-0.97125914753343,0.18
0.44446120274653245,0.31765754007261265,0.42376940800099017,-0.16230370369876373,-1.7410332073691501,-0.9583506006403559,0.44446120274653245,0.31765754007261265,0.42376940800099017,-0.16230370369876373,-1.7410332073691501,-0.9583506006403559,0.19
0.3419988558831914,0.33376202053857684,0.40557807139927426,-0.10861565004870574,-1.8053664885833633,-0.9907279604097115,0.3419988558831914,0.33376202053857684,0.40557807139927426,-0.10861565004870574,-1.8053664885833633,-0.9907279604097115,0.2
0.2541069039321505,0.37442081136746064,0.4015376063637276,-0.06424566843049051,-1.8380334132150207,-0.9768277834037491,0.2541069039321505,0.37442081136746064,0.4015376063637276,-0.06424566843049051,-1.8380334132150207,-0.9768277834037491,0.21
0.17396927588416292,0.39958288384582374,0.329641092076173,-0.06075355355688242,-1.8837600823312717,-0.9824480359993983,0.17396927588416292,0.39958288384582374,0.329641092076173,-0.06075355355688242,-1.8837600823312717,-0.9824480359993983,0.22
0.15079268102084972,0.40504920799216865,0.2914514913851772,-0.011824346510396905,-1.9098291037184847,-0.9661108482667737,0.15079268102084972,0.40504920799216865,0.2914514913851772,-0.011824346510396905,-1.9098291037184847,-0.9661108482667737,0.23
0.062192717599673236,0.48311122080378843,0.23440626746955615,0.13943765774986508,-1.946877961507203,-0.9144467884323708,0.062192717599673236,0.48311122080378843,0.23440626746955615,0.13943765774986508,-1.946877961507203,-0.9144467884323708,0.24
0.016694962790246626,0.43445555093809274,0.212336443342528,0.2315215713162139,-1.91521836863238,-0.8606165392576361,0.016694962790246626,0.43445555093809274,0.212336443342528,0.2315215713162139,-1.91521836863238,-0.8606165392576361,0.25
